matricula,data_evento,tipo_evento,id_area,grade,salario_anterior,salario_novo,variacao_pct,detalhe
100148,2021-01-01,Dissídio,7,1,3270.41,3473.18,0.062,SINDPD
100149,2021-01-01,Dissídio,11,2,4864.56,5166.16,0.061999,SINDCONT
100150,2021-01-01,Dissídio,7,5,14958.12,15885.53,0.062,SINDPD
100151,2021-01-01,Dissídio,12,6,17413.41,18493.05,0.062,SINDCONT
100158,2021-01-01,Dissídio,10,6,23247.47,24688.81,0.062,SINDCONT
100160,2021-01-01,Dissídio,9,3,5129.64,5447.67,0.061999,SINDPD
100161,2021-01-01,Dissídio,7,3,7221.89,7669.64,0.062,SINDPD
100162,2021-01-01,Dissídio,9,3,8292.06,8806.16,0.061999,SINDPD
100163,2021-01-01,Dissídio,11,2,3096.23,3288.2,0.062,SINDCONT
100165,2021-01-01,Dissídio,7,1,4164.36,4422.55,0.062001,SINDPD
100168,2021-01-01,Dissídio,7,5,15098.72,16034.84,0.062,SINDPD
100169,2021-01-01,Dissídio,7,3,9154.24,9721.81,0.062,SINDPD
100171,2021-01-01,Dissídio,9,2,5603.09,5950.48,0.062,SINDPD
100173,2021-01-01,Dissídio,12,6,15198.24,16140.53,0.062,SINDCONT
100174,2021-01-01,Dissídio,7,5,15067.15,16001.31,0.062,SINDPD
100175,2021-01-01,Dissídio,9,1,3830.73,4068.23,0.061999,SINDPD
100180,2021-01-01,Dissídio,12,3,7087.74,7527.18,0.062,SINDCONT
100183,2021-01-01,Dissídio,9,4,12472.71,13246.02,0.062,SINDPD
100185,2021-01-01,Dissídio,12,1,2773.43,2945.38,0.061999,SINDCONT
100186,2021-01-01,Dissídio,11,4,12779.34,13571.66,0.062,SINDCONT
100187,2021-01-01,Dissídio,9,1,4148.31,4405.51,0.062,SINDPD
100192,2021-01-01,Dissídio,9,2,5017.23,5328.3,0.062,SINDPD
100194,2021-01-01,Dissídio,8,3,7712.55,8190.72,0.062,SINDPD
100199,2021-01-01,Dissídio,7,7,35766.84,37984.39,0.062,SINDPD
100201,2021-01-01,Dissídio,11,2,4872.61,5174.71,0.062,SINDCONT
100202,2021-01-01,Dissídio,7,5,17571.46,18660.89,0.062,SINDPD
100203,2021-01-01,Dissídio,8,5,15862.52,16846.0,0.062,SINDPD
100204,2021-01-01,Dissídio,10,7,29317.51,31135.2,0.062,SINDCONT
100209,2021-01-01,Dissídio,7,5,17103.46,18163.88,0.062,SINDPD
100210,2021-01-01,Dissídio,12,3,8346.47,8863.95,0.062,SINDCONT
100219,2021-01-01,Dissídio,12,2,5254.03,5579.78,0.061999,SINDCONT
100225,2021-01-01,Dissídio,9,2,5020.57,5331.84,0.062,SINDPD
100227,2021-01-01,Dissídio,7,3,8965.35,9521.2,0.062,SINDPD
100231,2021-01-01,Dissídio,10,1,2898.01,3077.69,0.062,SINDCONT
100234,2021-01-01,Dissídio,9,3,8311.47,8826.78,0.062,SINDPD
100236,2021-01-01,Dissídio,7,5,14514.64,15414.55,0.062,SINDPD
100239,2021-01-01,Dissídio,12,5,15813.3,16793.73,0.062,SINDCONT
100241,2021-01-01,Dissídio,7,3,7036.14,7472.38,0.062,SINDPD
100242,2021-01-01,Dissídio,12,6,17969.53,19083.64,0.062,SINDCONT
100246,2021-01-01,Dissídio,10,3,7672.52,8148.22,0.062,SINDCONT
100248,2021-01-01,Dissídio,10,3,5595.48,5942.4,0.061999,SINDCONT
100254,2021-01-01,Dissídio,8,4,10494.96,11145.65,0.062,SINDPD
100257,2021-01-01,Dissídio,10,2,4328.03,4596.37,0.062001,SINDCONT
100258,2021-01-01,Dissídio,7,6,19294.06,20490.29,0.062,SINDPD
100264,2021-01-01,Dissídio,7,2,5474.49,5813.91,0.062,SINDPD
100266,2021-01-01,Dissídio,7,6,19623.5,20840.16,0.062,SINDPD
100274,2021-01-01,Dissídio,9,4,9921.54,10536.67,0.062,SINDPD
100277,2021-01-01,Dissídio,10,3,5338.62,5669.61,0.061999,SINDCONT
100279,2021-01-01,Dissídio,9,4,12013.79,12758.65,0.062,SINDPD
100283,2021-01-01,Dissídio,7,7,24721.57,26254.3,0.062,SINDPD
100285,2021-01-01,Dissídio,12,4,8508.42,9035.95,0.062,SINDCONT
100287,2021-01-01,Dissídio,7,7,29209.2,31020.17,0.062,SINDPD
100290,2021-01-01,Dissídio,10,2,3859.46,4098.75,0.062001,SINDCONT
100291,2021-01-01,Dissídio,7,3,8538.27,9067.64,0.062,SINDPD
100293,2021-01-01,Dissídio,10,2,5246.64,5571.93,0.062,SINDCONT
100294,2021-01-01,Dissídio,9,2,4771.13,5066.94,0.062,SINDPD
100295,2021-01-01,Dissídio,11,1,2553.88,2712.23,0.062002,SINDCONT
100299,2021-01-01,Dissídio,12,4,9079.72,9642.66,0.062,SINDCONT
100301,2021-01-01,Dissídio,7,4,11226.02,11922.03,0.062,SINDPD
100302,2021-01-01,Dissídio,10,3,8230.34,8740.63,0.062001,SINDCONT
100307,2021-01-01,Dissídio,7,3,9161.45,9729.46,0.062,SINDPD
100315,2021-01-01,Dissídio,10,3,6845.99,7270.44,0.062,SINDCONT
100316,2021-01-01,Dissídio,7,7,34715.69,36868.06,0.062,SINDPD
100317,2021-01-01,Dissídio,7,3,7491.61,7956.09,0.062,SINDPD
100319,2021-01-01,Dissídio,7,4,12078.05,12826.89,0.062,SINDPD
100321,2021-01-01,Dissídio,11,4,11147.18,11838.31,0.062,SINDCONT
100326,2021-01-01,Dissídio,10,4,9854.19,10465.15,0.062,SINDCONT
100327,2021-01-01,Dissídio,10,5,15354.49,16306.47,0.062,SINDCONT
100328,2021-01-01,Dissídio,10,4,7137.58,7580.11,0.062,SINDCONT
100329,2021-01-01,Dissídio,9,4,11910.1,12648.53,0.062,SINDPD
100331,2021-01-01,Dissídio,9,3,7250.05,7699.56,0.062,SINDPD
100334,2021-01-01,Dissídio,7,2,6689.29,7104.02,0.062,SINDPD
100336,2021-01-01,Dissídio,7,2,6165.76,6548.03,0.062,SINDPD
100337,2021-01-01,Dissídio,10,2,3650.41,3876.74,0.062,SINDCONT
100340,2021-01-01,Dissídio,10,2,3965.91,4211.79,0.061999,SINDCONT
100342,2021-01-01,Dissídio,7,2,4572.0,4855.47,0.062001,SINDPD
100343,2021-01-01,Dissídio,12,6,14165.86,15044.15,0.062,SINDCONT
100345,2021-01-01,Dissídio,11,2,4763.92,5059.28,0.062,SINDCONT
100348,2021-01-01,Dissídio,8,6,18177.83,19304.86,0.062,SINDPD
100350,2021-01-01,Dissídio,11,5,17673.36,18769.11,0.062,SINDCONT
100352,2021-01-01,Dissídio,10,3,7859.29,8346.56,0.062,SINDCONT
100353,2021-01-01,Dissídio,8,5,14991.48,15920.95,0.062,SINDPD
100363,2021-01-01,Dissídio,7,6,22200.13,23576.54,0.062,SINDPD
100366,2021-01-01,Dissídio,7,2,5272.04,5598.91,0.062,SINDPD
100373,2021-01-01,Dissídio,11,4,10531.66,11184.63,0.062,SINDCONT
100374,2021-01-01,Dissídio,11,3,6929.7,7359.34,0.062,SINDCONT
100380,2021-01-01,Dissídio,7,6,18021.04,19138.35,0.062,SINDPD
100387,2021-01-01,Dissídio,7,7,24629.41,26156.43,0.062,SINDPD
100388,2021-01-01,Dissídio,10,4,11393.31,12099.7,0.062,SINDCONT
100390,2021-01-01,Dissídio,11,4,14217.24,15098.71,0.062,SINDCONT
100394,2021-01-01,Dissídio,7,7,25571.59,27157.03,0.062,SINDPD
100395,2021-01-01,Dissídio,8,2,5987.57,6358.8,0.061999,SINDPD
100397,2021-01-01,Dissídio,8,4,11077.65,11764.47,0.062,SINDPD
100400,2021-01-01,Dissídio,11,2,5490.28,5830.68,0.062,SINDCONT
100402,2021-01-01,Dissídio,10,7,45842.08,48684.29,0.062,SINDCONT
100407,2021-01-01,Dissídio,7,1,3918.47,4161.42,0.062,SINDPD
100411,2021-01-01,Dissídio,10,1,2873.52,3051.68,0.062002,SINDCONT
100415,2021-01-01,Dissídio,10,4,10784.75,11453.41,0.062,SINDCONT
100416,2021-01-01,Dissídio,11,2,3357.43,3565.59,0.062,SINDCONT
100418,2021-01-01,Dissídio,7,3,10034.48,10656.62,0.062,SINDPD
100419,2021-01-01,Dissídio,8,3,7790.36,8273.36,0.061999,SINDPD
100420,2021-01-01,Dissídio,11,1,3315.83,3521.41,0.062,SINDCONT
100425,2021-01-01,Dissídio,7,2,4874.86,5177.1,0.062,SINDPD
100426,2021-01-01,Dissídio,12,3,8392.58,8912.92,0.062,SINDCONT
100428,2021-01-01,Dissídio,7,1,3438.03,3651.18,0.061999,SINDPD
100430,2021-01-01,Dissídio,10,2,3666.86,3894.21,0.062,SINDCONT
100435,2021-01-01,Dissídio,7,5,16217.07,17222.53,0.062,SINDPD
100439,2021-01-01,Dissídio,11,3,6508.93,6912.48,0.061999,SINDCONT
100444,2021-01-01,Dissídio,7,7,16922.75,17971.96,0.062,SINDPD
100450,2021-01-01,Dissídio,9,2,5091.51,5407.18,0.061999,SINDPD
100453,2021-01-01,Dissídio,7,3,8057.5,8557.06,0.062,SINDPD
100456,2021-01-01,Dissídio,7,5,15605.89,16573.46,0.062,SINDPD
100469,2021-01-01,Dissídio,12,2,5289.6,5617.55,0.062,SINDCONT
100471,2021-01-01,Dissídio,11,4,12809.61,13603.8,0.062,SINDCONT
100473,2021-01-01,Dissídio,7,3,9552.12,10144.35,0.062,SINDPD
100478,2021-01-01,Dissídio,9,3,9835.48,10445.28,0.062,SINDPD
100479,2021-01-01,Dissídio,10,5,14031.19,14901.13,0.062,SINDCONT
100482,2021-01-01,Dissídio,7,5,14341.71,15230.9,0.062,SINDPD
100483,2021-01-01,Dissídio,8,5,16138.75,17139.35,0.062,SINDPD
100484,2021-01-01,Dissídio,7,1,3787.98,4022.83,0.061999,SINDPD
100485,2021-01-01,Dissídio,12,6,22981.07,24405.9,0.062,SINDCONT
100487,2021-01-01,Dissídio,12,4,7462.79,7925.48,0.062,SINDCONT
100488,2021-01-01,Dissídio,8,3,8581.65,9113.71,0.062,SINDPD
100489,2021-01-01,Dissídio,7,2,5519.33,5861.53,0.062001,SINDPD
100490,2021-01-01,Dissídio,7,2,6479.99,6881.75,0.062001,SINDPD
100493,2021-01-01,Dissídio,9,2,5875.73,6240.03,0.062,SINDPD
100498,2021-01-01,Dissídio,8,3,6803.82,7225.66,0.062,SINDPD
100500,2021-01-01,Dissídio,7,2,4220.48,4482.15,0.062,SINDPD
100501,2021-01-01,Dissídio,10,3,5809.62,6169.82,0.062,SINDCONT
100508,2021-01-01,Dissídio,10,7,20362.89,21625.39,0.062,SINDCONT
100512,2021-01-01,Dissídio,10,3,5606.53,5954.14,0.062001,SINDCONT
100514,2021-01-01,Dissídio,8,3,5248.92,5574.35,0.062,SINDPD
100519,2021-01-01,Dissídio,7,3,11186.96,11880.56,0.062,SINDPD
100525,2021-01-01,Dissídio,12,4,9136.4,9702.86,0.062,SINDCONT
100534,2021-01-01,Dissídio,7,3,8163.97,8670.14,0.062,SINDPD
100535,2021-01-01,Dissídio,7,3,4864.73,5166.34,0.061999,SINDPD
100538,2021-01-01,Dissídio,10,1,3321.99,3527.95,0.062,SINDCONT
100543,2021-01-01,Dissídio,7,1,3380.71,3590.31,0.062,SINDPD
100544,2021-01-01,Dissídio,7,3,9470.99,10058.19,0.062,SINDPD
100547,2021-01-01,Dissídio,9,3,7372.84,7829.96,0.062,SINDPD
100549,2021-01-01,Dissídio,8,3,7958.47,8451.89,0.062,SINDPD
100554,2021-01-01,Dissídio,10,4,9799.37,10406.93,0.062,SINDCONT
100558,2021-01-01,Dissídio,7,5,19830.34,21059.83,0.062,SINDPD
100559,2021-01-01,Dissídio,8,4,11721.74,12448.49,0.062,SINDPD
100565,2021-01-01,Dissídio,7,3,8641.82,9177.61,0.062,SINDPD
100566,2021-01-01,Dissídio,7,4,11833.95,12567.65,0.062,SINDPD
100570,2021-01-01,Dissídio,10,6,22001.77,23365.88,0.062,SINDCONT
100571,2021-01-01,Dissídio,11,4,9153.17,9720.66,0.062,SINDCONT
100573,2021-01-01,Dissídio,12,2,5123.17,5440.81,0.062,SINDCONT
100574,2021-01-01,Dissídio,7,3,7916.14,8406.94,0.062,SINDPD
100579,2021-01-01,Dissídio,8,3,6101.75,6480.05,0.061999,SINDPD
100581,2021-01-01,Dissídio,9,3,8547.86,9077.83,0.062,SINDPD
100582,2021-01-01,Dissídio,9,1,3295.51,3499.83,0.062001,SINDPD
100588,2021-01-01,Dissídio,7,3,8998.29,9556.18,0.061999,SINDPD
100601,2021-01-01,Dissídio,7,3,10077.78,10702.6,0.062,SINDPD
