matricula,ciclo,data_avaliacao,rating_performance,rating_potencial
100098,2021,2021-01-01,4,4
100099,2021,2021-01-01,2,2
100100,2021,2021-01-01,4,4
100101,2021,2021-01-01,3,3
100102,2021,2021-01-01,2,2
100103,2021,2021-01-01,3,3
100104,2021,2021-01-01,3,3
100106,2021,2021-01-01,3,2
100107,2021,2021-01-01,3,5
100108,2021,2021-01-01,3,4
100109,2021,2021-01-01,3,3
100110,2021,2021-01-01,2,2
100111,2021,2021-01-01,3,3
100114,2021,2021-01-01,2,3
100115,2021,2021-01-01,4,5
100116,2021,2021-01-01,4,4
100117,2021,2021-01-01,3,2
100118,2021,2021-01-01,3,4
100119,2021,2021-01-01,2,3
100120,2021,2021-01-01,3,2
100121,2021,2021-01-01,3,3
100122,2021,2021-01-01,4,4
100123,2021,2021-01-01,3,3
100124,2021,2021-01-01,4,3
100125,2021,2021-01-01,3,3
100126,2021,2021-01-01,3,4
100127,2021,2021-01-01,3,3
100128,2021,2021-01-01,3,4
100130,2021,2021-01-01,4,3
100131,2021,2021-01-01,3,2
100132,2021,2021-01-01,2,2
100133,2021,2021-01-01,3,3
100134,2021,2021-01-01,3,4
100135,2021,2021-01-01,2,2
100137,2021,2021-01-01,4,4
100138,2021,2021-01-01,3,2
100139,2021,2021-01-01,3,2
100140,2021,2021-01-01,4,4
100141,2021,2021-01-01,3,4
100142,2021,2021-01-01,3,4
100143,2021,2021-01-01,3,1
100144,2021,2021-01-01,3,2
100145,2021,2021-01-01,3,3
100146,2021,2021-01-01,3,2
100147,2021,2021-01-01,3,2
100148,2021,2021-01-01,3,2
100149,2021,2021-01-01,3,5
100150,2021,2021-01-01,3,2
100151,2021,2021-01-01,4,4
100152,2021,2021-01-01,4,4
100153,2021,2021-01-01,2,2
100154,2021,2021-01-01,4,2
100155,2021,2021-01-01,3,5
100156,2021,2021-01-01,3,4
100157,2021,2021-01-01,3,3
100158,2021,2021-01-01,3,2
100160,2021,2021-01-01,4,3
100161,2021,2021-01-01,4,4
100162,2021,2021-01-01,3,4
100163,2021,2021-01-01,2,3
100164,2021,2021-01-01,3,4
100165,2021,2021-01-01,4,3
100166,2021,2021-01-01,3,4
100167,2021,2021-01-01,4,3
100168,2021,2021-01-01,3,3
100169,2021,2021-01-01,3,5
100170,2021,2021-01-01,3,3
100172,2021,2021-01-01,3,4
100173,2021,2021-01-01,4,2
100174,2021,2021-01-01,3,3
100175,2021,2021-01-01,2,1
100176,2021,2021-01-01,2,2
100177,2021,2021-01-01,3,3
100178,2021,2021-01-01,4,3
100179,2021,2021-01-01,4,5
100180,2021,2021-01-01,3,3
100181,2021,2021-01-01,3,4
100182,2021,2021-01-01,3,3
100183,2021,2021-01-01,3,3
100184,2021,2021-01-01,3,3
100186,2021,2021-01-01,2,2
100187,2021,2021-01-01,2,2
100189,2021,2021-01-01,4,4
100190,2021,2021-01-01,2,2
100191,2021,2021-01-01,4,5
100192,2021,2021-01-01,2,2
100194,2021,2021-01-01,3,3
100196,2021,2021-01-01,3,1
100197,2021,2021-01-01,3,1
100198,2021,2021-01-01,3,4
100199,2021,2021-01-01,3,2
100200,2021,2021-01-01,3,4
100201,2021,2021-01-01,3,4
100202,2021,2021-01-01,3,4
100203,2021,2021-01-01,3,3
100204,2021,2021-01-01,4,2
100205,2021,2021-01-01,3,1
100206,2021,2021-01-01,3,2
100207,2021,2021-01-01,3,2
100208,2021,2021-01-01,3,4
100209,2021,2021-01-01,3,3
100210,2021,2021-01-01,4,5
100211,2021,2021-01-01,3,2
100212,2021,2021-01-01,4,5
100213,2021,2021-01-01,3,4
100214,2021,2021-01-01,4,4
100215,2021,2021-01-01,4,3
100216,2021,2021-01-01,3,4
100217,2021,2021-01-01,3,2
100218,2021,2021-01-01,4,3
100219,2021,2021-01-01,3,2
