id_cargo,ano,faixa_minima,faixa_mediana,faixa_maxima
REC-4,2021,7039.5,9025.0,11010.5
REC-5,2021,9618.75,12825.0,16031.25
REC-6,2021,11400.0,15200.0,19000.0
REC-7,2021,16416.0,22800.0,29184.0
REC-8,2021,29925.0,42750.0,55575.0
OPE-1,2021,2016.0,2520.0,3024.0
OPE-2,2021,3024.0,3780.0,4536.0
OPE-3,2021,4563.0,5850.0,7137.0
OPE-4,2021,6669.0,8550.0,10431.0
OPE-5,2021,9112.5,12150.0,15187.5
OPE-6,2021,10800.0,14400.0,18000.0
OPE-7,2021,15552.0,21600.0,27648.0
OPE-8,2021,28350.0,40500.0,52650.0
ATE-1,2021,1792.0,2240.0,2688.0
ATE-2,2021,2688.0,3360.0,4032.0
ATE-3,2021,4056.0,5200.0,6344.0
ATE-4,2021,5928.0,7600.0,9272.0
ATE-5,2021,8100.0,10800.0,13500.0
ATE-6,2021,9600.0,12800.0,16000.0
ATE-7,2021,13824.0,19200.0,24576.0
ATE-8,2021,25200.0,36000.0,46800.0
TEC-1,2022,3211.49,4014.36,4817.23
TEC-2,2022,4817.23,6021.54,7225.85
TEC-3,2022,7268.86,9319.05,11369.24
TEC-4,2022,10623.72,13620.15,16616.58
TEC-5,2022,14516.21,19354.95,24193.69
TEC-6,2022,17204.4,22939.2,28674.0
TEC-7,2022,24774.34,34408.8,44043.26
TEC-8,2022,45161.55,64516.5,83871.45
JUR-1,2022,2854.66,3568.32,4281.98
JUR-2,2022,4281.98,5352.48,6422.98
JUR-3,2022,6461.21,8283.6,10105.99
JUR-4,2022,9443.3,12106.8,14770.3
JUR-5,2022,12903.3,17204.4,21505.5
JUR-6,2022,15292.8,20390.4,25488.0
JUR-7,2022,22021.63,30585.6,39149.57
JUR-8,2022,40143.6,57348.0,74552.4
FIN-1,2022,2735.71,3419.64,4103.57
FIN-2,2022,4103.57,5129.46,6155.35
FIN-3,2022,6191.99,7938.45,9684.91
FIN-4,2022,9049.83,11602.35,14154.87
FIN-5,2022,12365.66,16487.55,20609.44
FIN-6,2022,14655.6,19540.8,24426.0
FIN-7,2022,21104.06,29311.2,37518.34
FIN-8,2022,38470.95,54958.5,71446.05
COM-1,2022,2616.77,3270.96,3925.15
COM-2,2022,3925.15,4906.44,5887.73
COM-3,2022,5922.77,7593.3,9263.83
COM-4,2022,8656.36,11097.9,13539.44
COM-5,2022,11828.03,15770.7,19713.38
COM-6,2022,14018.4,18691.2,23364.0
COM-7,2022,20186.5,28036.8,35887.1
COM-8,2022,36798.3,52569.0,68339.7
MAR-1,2022,2378.88,2973.6,3568.32
MAR-2,2022,3568.32,4460.4,5352.48
MAR-3,2022,5384.34,6903.0,8421.66
MAR-4,2022,7869.42,10089.0,12308.58
MAR-5,2022,10752.75,14337.0,17921.25
MAR-6,2022,12744.0,16992.0,21240.0
MAR-7,2022,18351.36,25488.0,32624.64
MAR-8,2022,33453.0,47790.0,62127.0
REC-1,2022,2259.94,2824.92,3389.9
REC-2,2022,3389.9,4237.38,5084.86
REC-3,2022,5115.12,6557.85,8000.58
REC-4,2022,7475.95,9584.55,11693.15
REC-5,2022,10215.11,13620.15,17025.19
REC-6,2022,12106.8,16142.4,20178.0
REC-7,2022,17433.79,24213.6,30993.41
REC-8,2022,31780.35,45400.5,59020.65
OPE-1,2022,2140.99,2676.24,3211.49
OPE-2,2022,3211.49,4014.36,4817.23
OPE-3,2022,4845.91,6212.7,7579.49
OPE-4,2022,7082.48,9080.1,11077.72
OPE-5,2022,9677.48,12903.3,16129.13
OPE-6,2022,11469.6,15292.8,19116.0
OPE-7,2022,16516.22,22939.2,29362.18
OPE-8,2022,30107.7,43011.0,55914.3
ATE-1,2022,1903.1,2378.88,2854.66
ATE-2,2022,2854.66,3568.32,4281.98
ATE-3,2022,4307.47,5522.4,6737.33
ATE-4,2022,6295.54,8071.2,9846.86
ATE-5,2022,8602.2,11469.6,14337.0
ATE-6,2022,10195.2,13593.6,16992.0
ATE-7,2022,14681.09,20390.4,26099.71
ATE-8,2022,26762.4,38232.0,49701.6
TEC-1,2023,3558.33,4447.91,5337.49
TEC-2,2023,5337.49,6671.87,8006.24
TEC-3,2023,8053.9,10325.51,12597.12
TEC-4,2023,11771.08,15091.13,18411.17
TEC-5,2023,16083.96,21445.28,26806.61
TEC-6,2023,19062.48,25416.63,31770.79
TEC-7,2023,27449.96,38124.95,48799.94
TEC-8,2023,50039.0,71484.28,92929.57
JUR-1,2023,3162.96,3953.7,4744.44
JUR-2,2023,4744.44,5930.55,7116.66
JUR-3,2023,7159.02,9178.23,11197.44
JUR-4,2023,10463.18,13414.33,16365.49
JUR-5,2023,14296.86,19062.48,23828.09
JUR-6,2023,16944.42,22592.56,28240.7
JUR-7,2023,24399.97,33888.84,43377.72
JUR-8,2023,44479.11,63541.58,82604.06
FIN-1,2023,3031.17,3788.96,4546.75
FIN-2,2023,4546.75,5683.44,6820.13
FIN-3,2023,6860.73,8795.8,10730.88
FIN-4,2023,10027.21,12855.4,15683.59
FIN-5,2023,13701.15,18268.21,22835.26
FIN-6,2023,16238.4,21651.21,27064.01
FIN-7,2023,23383.3,32476.81,41570.32
FIN-8,2023,42625.81,60894.02,79162.22
COM-1,2023,2899.38,3624.22,4349.07
COM-2,2023,4349.07,5436.34,6523.6
COM-3,2023,6562.43,8413.38,10264.32
COM-4,2023,9591.25,12296.47,15001.7
COM-5,2023,13105.45,17473.94,21842.42
COM-6,2023,15532.39,20709.85,25887.31
COM-7,2023,22366.64,31064.77,39762.91
COM-8,2023,40772.52,58246.45,75720.39
MAR-1,2023,2635.8,3294.75,3953.7
MAR-2,2023,3953.7,4942.12,5930.55
MAR-3,2023,5965.85,7648.52,9331.2
MAR-4,2023,8719.32,11178.61,13637.91
MAR-5,2023,11914.05,15885.4,19856.75
MAR-6,2023,14120.35,18827.14,23533.92
MAR-7,2023,20333.31,28240.7,36148.1
MAR-8,2023,37065.92,52951.32,68836.72
REC-1,2023,2504.01,3130.01,3756.01
REC-2,2023,3756.01,4695.02,5634.02
REC-3,2023,5667.56,7266.1,8864.64
REC-4,2023,8283.35,10619.68,12956.01
REC-5,2023,11318.34,15091.13,18863.91
REC-6,2023,13414.33,17885.78,22357.22
REC-7,2023,19316.64,26828.67,34340.7
REC-8,2023,35212.63,50303.75,65394.88
OPE-1,2023,2372.22,2965.27,3558.33
OPE-2,2023,3558.33,4447.91,5337.49
OPE-3,2023,5369.26,6883.67,8398.08
OPE-4,2023,7847.39,10060.75,12274.12
OPE-5,2023,10722.64,14296.86,17871.07
OPE-6,2023,12708.32,16944.42,21180.53
OPE-7,2023,18299.98,25416.63,32533.29
OPE-8,2023,33359.33,47656.19,61953.04
ATE-1,2023,2108.64,2635.8,3162.96
ATE-2,2023,3162.96,3953.7,4744.44
ATE-3,2023,4772.68,6118.82,7464.96
ATE-4,2023,6975.45,8942.89,10910.33
ATE-5,2023,9531.24,12708.32,15885.4
ATE-6,2023,11296.28,15061.71,18827.14
ATE-7,2023,16266.65,22592.56,28918.48
ATE-8,2023,29652.74,42361.06,55069.37
TEC-1,2024,3754.04,4692.55,5631.06
TEC-2,2024,5631.06,7038.82,8446.58
TEC-3,2024,8496.86,10893.41,13289.96
TEC-4,2024,12418.49,15921.14,19423.79
TEC-5,2024,16968.58,22624.78,28280.97
TEC-6,2024,20110.91,26814.55,33518.19
TEC-7,2024,28959.71,40221.82,51483.93
TEC-8,2024,52791.14,75415.92,98040.69
