id_cargo,familia_cargo,grade,nivel,cargo,faixa_minima,faixa_mediana,faixa_maxima,multiplicador_familia
OPE-4,Operações,4,Analista Sênior,Analista Sênior de Operações,6669.0,8550.0,10431.0,0.9
OPE-5,Operações,5,Especialista,Especialista de Operações,9112.5,12150.0,15187.5,0.9
OPE-6,Operações,6,Coordenador,Coordenador de Operações,10800.0,14400.0,18000.0,0.9
OPE-7,Operações,7,Gerente,Gerente de Operações,15552.0,21600.0,27648.0,0.9
OPE-8,Operações,8,Diretor,Diretor de Operações,28350.0,40500.0,52650.0,0.9
ATE-1,Atendimento,1,Assistente,Assistente de Atendimento,1792.0,2240.0,2688.0,0.8
ATE-2,Atendimento,2,Analista Júnior,Analista Júnior de Atendimento,2688.0,3360.0,4032.0,0.8
ATE-3,Atendimento,3,Analista Pleno,Analista Pleno de Atendimento,4056.0,5200.0,6344.0,0.8
ATE-4,Atendimento,4,Analista Sênior,Analista Sênior de Atendimento,5928.0,7600.0,9272.0,0.8
ATE-5,Atendimento,5,Especialista,Especialista de Atendimento,8100.0,10800.0,13500.0,0.8
ATE-6,Atendimento,6,Coordenador,Coordenador de Atendimento,9600.0,12800.0,16000.0,0.8
ATE-7,Atendimento,7,Gerente,Gerente de Atendimento,13824.0,19200.0,24576.0,0.8
ATE-8,Atendimento,8,Diretor,Diretor de Atendimento,25200.0,36000.0,46800.0,0.8
