data,id_data,id_mes,ano,mes,nome_mes,ano_mes,trimestre,semestre,dia_semana,eh_dia_util,ultimo_dia_mes
2021-02-08,20210208,202102,2021,2,Fev,Fev/21,T1,S1,0,True,False
2021-02-09,20210209,202102,2021,2,Fev,Fev/21,T1,S1,1,True,False
2021-02-10,20210210,202102,2021,2,Fev,Fev/21,T1,S1,2,True,False
2021-02-11,20210211,202102,2021,2,Fev,Fev/21,T1,S1,3,True,False
2021-02-12,20210212,202102,2021,2,Fev,Fev/21,T1,S1,4,True,False
2021-02-13,20210213,202102,2021,2,Fev,Fev/21,T1,S1,5,False,False
2021-02-14,20210214,202102,2021,2,Fev,Fev/21,T1,S1,6,False,False
2021-02-15,20210215,202102,2021,2,Fev,Fev/21,T1,S1,0,True,False
2021-02-16,20210216,202102,2021,2,Fev,Fev/21,T1,S1,1,True,False
2021-02-17,20210217,202102,2021,2,Fev,Fev/21,T1,S1,2,True,False
2021-02-18,20210218,202102,2021,2,Fev,Fev/21,T1,S1,3,True,False
2021-02-19,20210219,202102,2021,2,Fev,Fev/21,T1,S1,4,True,False
2021-02-20,20210220,202102,2021,2,Fev,Fev/21,T1,S1,5,False,False
2021-02-21,20210221,202102,2021,2,Fev,Fev/21,T1,S1,6,False,False
2021-02-22,20210222,202102,2021,2,Fev,Fev/21,T1,S1,0,True,False
2021-02-23,20210223,202102,2021,2,Fev,Fev/21,T1,S1,1,True,False
2021-02-24,20210224,202102,2021,2,Fev,Fev/21,T1,S1,2,True,False
2021-02-25,20210225,202102,2021,2,Fev,Fev/21,T1,S1,3,True,False
2021-02-26,20210226,202102,2021,2,Fev,Fev/21,T1,S1,4,True,False
2021-02-27,20210227,202102,2021,2,Fev,Fev/21,T1,S1,5,False,False
2021-02-28,20210228,202102,2021,2,Fev,Fev/21,T1,S1,6,False,True
2021-03-01,20210301,202103,2021,3,Mar,Mar/21,T1,S1,0,True,False
2021-03-02,20210302,202103,2021,3,Mar,Mar/21,T1,S1,1,True,False
2021-03-03,20210303,202103,2021,3,Mar,Mar/21,T1,S1,2,True,False
2021-03-04,20210304,202103,2021,3,Mar,Mar/21,T1,S1,3,True,False
2021-03-05,20210305,202103,2021,3,Mar,Mar/21,T1,S1,4,True,False
2021-03-06,20210306,202103,2021,3,Mar,Mar/21,T1,S1,5,False,False
2021-03-07,20210307,202103,2021,3,Mar,Mar/21,T1,S1,6,False,False
2021-03-08,20210308,202103,2021,3,Mar,Mar/21,T1,S1,0,True,False
2021-03-09,20210309,202103,2021,3,Mar,Mar/21,T1,S1,1,True,False
2021-03-10,20210310,202103,2021,3,Mar,Mar/21,T1,S1,2,True,False
2021-03-11,20210311,202103,2021,3,Mar,Mar/21,T1,S1,3,True,False
2021-03-12,20210312,202103,2021,3,Mar,Mar/21,T1,S1,4,True,False
2021-03-13,20210313,202103,2021,3,Mar,Mar/21,T1,S1,5,False,False
2021-03-14,20210314,202103,2021,3,Mar,Mar/21,T1,S1,6,False,False
2021-03-15,20210315,202103,2021,3,Mar,Mar/21,T1,S1,0,True,False
2021-03-16,20210316,202103,2021,3,Mar,Mar/21,T1,S1,1,True,False
2021-03-17,20210317,202103,2021,3,Mar,Mar/21,T1,S1,2,True,False
2021-03-18,20210318,202103,2021,3,Mar,Mar/21,T1,S1,3,True,False
2021-03-19,20210319,202103,2021,3,Mar,Mar/21,T1,S1,4,True,False
2021-03-20,20210320,202103,2021,3,Mar,Mar/21,T1,S1,5,False,False
2021-03-21,20210321,202103,2021,3,Mar,Mar/21,T1,S1,6,False,False
2021-03-22,20210322,202103,2021,3,Mar,Mar/21,T1,S1,0,True,False
2021-03-23,20210323,202103,2021,3,Mar,Mar/21,T1,S1,1,True,False
2021-03-24,20210324,202103,2021,3,Mar,Mar/21,T1,S1,2,True,False
2021-03-25,20210325,202103,2021,3,Mar,Mar/21,T1,S1,3,True,False
2021-03-26,20210326,202103,2021,3,Mar,Mar/21,T1,S1,4,True,False
2021-03-27,20210327,202103,2021,3,Mar,Mar/21,T1,S1,5,False,False
2021-03-28,20210328,202103,2021,3,Mar,Mar/21,T1,S1,6,False,False
2021-03-29,20210329,202103,2021,3,Mar,Mar/21,T1,S1,0,True,False
2021-03-30,20210330,202103,2021,3,Mar,Mar/21,T1,S1,1,True,False
2021-03-31,20210331,202103,2021,3,Mar,Mar/21,T1,S1,2,True,True
2021-04-01,20210401,202104,2021,4,Abr,Abr/21,T2,S1,3,True,False
2021-04-02,20210402,202104,2021,4,Abr,Abr/21,T2,S1,4,True,False
2021-04-03,20210403,202104,2021,4,Abr,Abr/21,T2,S1,5,False,False
2021-04-04,20210404,202104,2021,4,Abr,Abr/21,T2,S1,6,False,False
2021-04-05,20210405,202104,2021,4,Abr,Abr/21,T2,S1,0,True,False
2021-04-06,20210406,202104,2021,4,Abr,Abr/21,T2,S1,1,True,False
2021-04-07,20210407,202104,2021,4,Abr,Abr/21,T2,S1,2,True,False
2021-04-08,20210408,202104,2021,4,Abr,Abr/21,T2,S1,3,True,False
2021-04-09,20210409,202104,2021,4,Abr,Abr/21,T2,S1,4,True,False
2021-04-10,20210410,202104,2021,4,Abr,Abr/21,T2,S1,5,False,False
2021-04-11,20210411,202104,2021,4,Abr,Abr/21,T2,S1,6,False,False
2021-04-12,20210412,202104,2021,4,Abr,Abr/21,T2,S1,0,True,False
2021-04-13,20210413,202104,2021,4,Abr,Abr/21,T2,S1,1,True,False
2021-04-14,20210414,202104,2021,4,Abr,Abr/21,T2,S1,2,True,False
2021-04-15,20210415,202104,2021,4,Abr,Abr/21,T2,S1,3,True,False
2021-04-16,20210416,202104,2021,4,Abr,Abr/21,T2,S1,4,True,False
2021-04-17,20210417,202104,2021,4,Abr,Abr/21,T2,S1,5,False,False
2021-04-18,20210418,202104,2021,4,Abr,Abr/21,T2,S1,6,False,False
2021-04-19,20210419,202104,2021,4,Abr,Abr/21,T2,S1,0,True,False
2021-04-20,20210420,202104,2021,4,Abr,Abr/21,T2,S1,1,True,False
2021-04-21,20210421,202104,2021,4,Abr,Abr/21,T2,S1,2,True,False
2021-04-22,20210422,202104,2021,4,Abr,Abr/21,T2,S1,3,True,False
2021-04-23,20210423,202104,2021,4,Abr,Abr/21,T2,S1,4,True,False
2021-04-24,20210424,202104,2021,4,Abr,Abr/21,T2,S1,5,False,False
2021-04-25,20210425,202104,2021,4,Abr,Abr/21,T2,S1,6,False,False
2021-04-26,20210426,202104,2021,4,Abr,Abr/21,T2,S1,0,True,False
2021-04-27,20210427,202104,2021,4,Abr,Abr/21,T2,S1,1,True,False
2021-04-28,20210428,202104,2021,4,Abr,Abr/21,T2,S1,2,True,False
2021-04-29,20210429,202104,2021,4,Abr,Abr/21,T2,S1,3,True,False
2021-04-30,20210430,202104,2021,4,Abr,Abr/21,T2,S1,4,True,True
2021-05-01,20210501,202105,2021,5,Mai,Mai/21,T2,S1,5,False,False
2021-05-02,20210502,202105,2021,5,Mai,Mai/21,T2,S1,6,False,False
2021-05-03,20210503,202105,2021,5,Mai,Mai/21,T2,S1,0,True,False
2021-05-04,20210504,202105,2021,5,Mai,Mai/21,T2,S1,1,True,False
2021-05-05,20210505,202105,2021,5,Mai,Mai/21,T2,S1,2,True,False
2021-05-06,20210506,202105,2021,5,Mai,Mai/21,T2,S1,3,True,False
2021-05-07,20210507,202105,2021,5,Mai,Mai/21,T2,S1,4,True,False
2021-05-08,20210508,202105,2021,5,Mai,Mai/21,T2,S1,5,False,False
2021-05-09,20210509,202105,2021,5,Mai,Mai/21,T2,S1,6,False,False
2021-05-10,20210510,202105,2021,5,Mai,Mai/21,T2,S1,0,True,False
2021-05-11,20210511,202105,2021,5,Mai,Mai/21,T2,S1,1,True,False
2021-05-12,20210512,202105,2021,5,Mai,Mai/21,T2,S1,2,True,False
2021-05-13,20210513,202105,2021,5,Mai,Mai/21,T2,S1,3,True,False
2021-05-14,20210514,202105,2021,5,Mai,Mai/21,T2,S1,4,True,False
2021-05-15,20210515,202105,2021,5,Mai,Mai/21,T2,S1,5,False,False
2021-05-16,20210516,202105,2021,5,Mai,Mai/21,T2,S1,6,False,False
2021-05-17,20210517,202105,2021,5,Mai,Mai/21,T2,S1,0,True,False
2021-05-18,20210518,202105,2021,5,Mai,Mai/21,T2,S1,1,True,False
2021-05-19,20210519,202105,2021,5,Mai,Mai/21,T2,S1,2,True,False
2021-05-20,20210520,202105,2021,5,Mai,Mai/21,T2,S1,3,True,False
2021-05-21,20210521,202105,2021,5,Mai,Mai/21,T2,S1,4,True,False
2021-05-22,20210522,202105,2021,5,Mai,Mai/21,T2,S1,5,False,False
2021-05-23,20210523,202105,2021,5,Mai,Mai/21,T2,S1,6,False,False
2021-05-24,20210524,202105,2021,5,Mai,Mai/21,T2,S1,0,True,False
2021-05-25,20210525,202105,2021,5,Mai,Mai/21,T2,S1,1,True,False
2021-05-26,20210526,202105,2021,5,Mai,Mai/21,T2,S1,2,True,False
2021-05-27,20210527,202105,2021,5,Mai,Mai/21,T2,S1,3,True,False
2021-05-28,20210528,202105,2021,5,Mai,Mai/21,T2,S1,4,True,False
2021-05-29,20210529,202105,2021,5,Mai,Mai/21,T2,S1,5,False,False
2021-05-30,20210530,202105,2021,5,Mai,Mai/21,T2,S1,6,False,False
2021-05-31,20210531,202105,2021,5,Mai,Mai/21,T2,S1,0,True,True
2021-06-01,20210601,202106,2021,6,Jun,Jun/21,T2,S1,1,True,False
2021-06-02,20210602,202106,2021,6,Jun,Jun/21,T2,S1,2,True,False
2021-06-03,20210603,202106,2021,6,Jun,Jun/21,T2,S1,3,True,False
2021-06-04,20210604,202106,2021,6,Jun,Jun/21,T2,S1,4,True,False
2021-06-05,20210605,202106,2021,6,Jun,Jun/21,T2,S1,5,False,False
2021-06-06,20210606,202106,2021,6,Jun,Jun/21,T2,S1,6,False,False
2021-06-07,20210607,202106,2021,6,Jun,Jun/21,T2,S1,0,True,False
2021-06-08,20210608,202106,2021,6,Jun,Jun/21,T2,S1,1,True,False
2021-06-09,20210609,202106,2021,6,Jun,Jun/21,T2,S1,2,True,False
2021-06-10,20210610,202106,2021,6,Jun,Jun/21,T2,S1,3,True,False
2021-06-11,20210611,202106,2021,6,Jun,Jun/21,T2,S1,4,True,False
2021-06-12,20210612,202106,2021,6,Jun,Jun/21,T2,S1,5,False,False
2021-06-13,20210613,202106,2021,6,Jun,Jun/21,T2,S1,6,False,False
2021-06-14,20210614,202106,2021,6,Jun,Jun/21,T2,S1,0,True,False
2021-06-15,20210615,202106,2021,6,Jun,Jun/21,T2,S1,1,True,False
2021-06-16,20210616,202106,2021,6,Jun,Jun/21,T2,S1,2,True,False
2021-06-17,20210617,202106,2021,6,Jun,Jun/21,T2,S1,3,True,False
2021-06-18,20210618,202106,2021,6,Jun,Jun/21,T2,S1,4,True,False
2021-06-19,20210619,202106,2021,6,Jun,Jun/21,T2,S1,5,False,False
2021-06-20,20210620,202106,2021,6,Jun,Jun/21,T2,S1,6,False,False
2021-06-21,20210621,202106,2021,6,Jun,Jun/21,T2,S1,0,True,False
2021-06-22,20210622,202106,2021,6,Jun,Jun/21,T2,S1,1,True,False
2021-06-23,20210623,202106,2021,6,Jun,Jun/21,T2,S1,2,True,False
2021-06-24,20210624,202106,2021,6,Jun,Jun/21,T2,S1,3,True,False
2021-06-25,20210625,202106,2021,6,Jun,Jun/21,T2,S1,4,True,False
2021-06-26,20210626,202106,2021,6,Jun,Jun/21,T2,S1,5,False,False
2021-06-27,20210627,202106,2021,6,Jun,Jun/21,T2,S1,6,False,False
2021-06-28,20210628,202106,2021,6,Jun,Jun/21,T2,S1,0,True,False
2021-06-29,20210629,202106,2021,6,Jun,Jun/21,T2,S1,1,True,False
2021-06-30,20210630,202106,2021,6,Jun,Jun/21,T2,S1,2,True,True
2021-07-01,20210701,202107,2021,7,Jul,Jul/21,T3,S2,3,True,False
2021-07-02,20210702,202107,2021,7,Jul,Jul/21,T3,S2,4,True,False
2021-07-03,20210703,202107,2021,7,Jul,Jul/21,T3,S2,5,False,False
2021-07-04,20210704,202107,2021,7,Jul,Jul/21,T3,S2,6,False,False
2021-07-05,20210705,202107,2021,7,Jul,Jul/21,T3,S2,0,True,False
2021-07-06,20210706,202107,2021,7,Jul,Jul/21,T3,S2,1,True,False
2021-07-07,20210707,202107,2021,7,Jul,Jul/21,T3,S2,2,True,False
2021-07-08,20210708,202107,2021,7,Jul,Jul/21,T3,S2,3,True,False
2021-07-09,20210709,202107,2021,7,Jul,Jul/21,T3,S2,4,True,False
2021-07-10,20210710,202107,2021,7,Jul,Jul/21,T3,S2,5,False,False
2021-07-11,20210711,202107,2021,7,Jul,Jul/21,T3,S2,6,False,False
2021-07-12,20210712,202107,2021,7,Jul,Jul/21,T3,S2,0,True,False
2021-07-13,20210713,202107,2021,7,Jul,Jul/21,T3,S2,1,True,False
2021-07-14,20210714,202107,2021,7,Jul,Jul/21,T3,S2,2,True,False
2021-07-15,20210715,202107,2021,7,Jul,Jul/21,T3,S2,3,True,False
2021-07-16,20210716,202107,2021,7,Jul,Jul/21,T3,S2,4,True,False
2021-07-17,20210717,202107,2021,7,Jul,Jul/21,T3,S2,5,False,False
2021-07-18,20210718,202107,2021,7,Jul,Jul/21,T3,S2,6,False,False
2021-07-19,20210719,202107,2021,7,Jul,Jul/21,T3,S2,0,True,False
